instrument,note,midi,pp_source,mf_source,ff_source,gpr_p,gpr_mp,gpr_f,linear_mp_estimate,quadratic_mp_estimate,gpr_mp_std,mp_minus_p,mf_minus_mp,outside_pp_mf_interval,finite,negative,warnings,model,mp_coordinate
violin,B5,83.0,13.053029,14.265343,14.197524,13.607190679181766,13.761843742336108,14.138345132566002,13.659186,14.08227696875,0.20904431169502832,0.1546530631543419,0.5034992576638917,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,B6,95.0,6.431797,6.888149,7.98655,6.732018158713907,6.902490916381752,7.448253138093388,6.659973000000001,6.71386890625,0.21367202216272113,0.1704727576678451,-0.014341916381751751,True,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,C#4,61.0,25.052836,22.127835,25.8856,23.11685135642509,22.3984416256297,23.561789108302133,23.590335500000002,22.232575937500002,0.7417477866845168,-0.7184097307953898,-0.27060662562969995,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,C#5,73.0,19.387751,15.382446,17.748366,17.007477669089955,15.986576454782908,16.119120585844293,17.3850985,15.786469906250002,0.7423645909477318,-1.020901214307047,-0.6041304547829078,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,C#6,85.0,10.378064,11.798903,13.601809,11.110764147222314,11.49514430134641,12.710692886336407,11.088483499999999,11.407874468749998,0.24856769381930474,0.38438015412409676,0.3037586986535885,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,C#7,97.0,5.426751,7.643142,6.961116,6.697439835101247,7.204776757895426,7.528509785179398,6.5349465,7.36077084375,0.3777626740010447,0.5073369227941793,0.43836524210457384,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,C4,60.0,27.340394,23.374901,27.795461,24.77967402451604,23.78105655329442,25.02483451858377,25.3576475,23.580081781249998,0.9297102169252645,-0.9986174712216211,-0.4061555532944183,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,C5,72.0,16.400225,16.67357,16.590142,16.552631814253257,16.55263197223421,16.55263243872185,16.536897500000002,16.63868121875,0.18256313859159806,1.5798095276409185e-07,0.1209380277657921,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,C6,84.0,13.138963,14.68363,17.558458,13.855749465578924,14.307451747056568,16.108243553479866,13.9112965,14.172760656250002,0.3000536300769886,0.4517022814776439,0.37617825294343277,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,C7,96.0,5.245629,7.706866,5.790592,6.768729710827743,7.346702789668895,7.075639972503528,6.4762474999999995,7.5019484062499995,0.5008387289975884,0.5779730788411523,0.36016321033110454,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,D#4,63.0,26.560277,32.386338,30.695905,30.05738658238576,31.454419900896493,32.27272935980728,29.4733075,31.6344940625,0.7151581271044425,1.3970333185107329,0.931918099103509,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,D#5,75.0,17.096813,16.571727,18.685236,16.67670609475526,16.607262303123377,17.500250252449046,16.83427,16.45563021875,0.3622419550607159,-0.0694437916318833,-0.03553530312337827,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,D#6,87.0,10.632592,12.162554,15.773834,11.236252853421966,11.680763202502936,13.914542732045847,11.397573000000001,11.5849399375,0.3639462738561332,0.44451034908096965,0.4817907974970641,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,D#7,99.0,4.383445,6.275297,7.088029,5.352923682344402,5.776808873418296,6.733953203940697,5.329371,5.903501500000001,0.2815748327672585,0.4238851910738939,0.49848812658170427,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,D4,62.0,26.133791,34.381636,36.879891,30.613858605868824,32.65789576066548,36.29704724739629,30.2577135,32.8586988125,0.6443567397496505,2.0440371547966585,1.7237402393345178,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,D5,74.0,16.640459,18.281285,18.556922,17.474793395198652,17.793366864491034,18.432714812881187,17.460872000000002,17.999064968749998,0.25804116339017275,0.3185734692923816,0.48791813550896634,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,D6,86.0,9.584466,12.903616,15.145209,11.272725467545044,12.080308490049918,14.13571571742763,11.244041,12.174849468749999,0.3179157026624361,0.8075830225048737,0.823307509950082,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,D7,98.0,5.883139,6.513301,6.907783,6.230667406993145,6.337906308245144,6.64490364798857,6.19822,6.377855500000001,0.19821072459161074,0.10723890125199897,0.1753946917548559,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,E4,64.0,31.15438,35.982938,34.793031,34.04612272267991,35.189751577444056,35.96619945737622,33.568659,35.340029593749996,0.5844804918066281,1.1436288547641453,0.7931864225559409,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,E5,76.0,21.459182,23.295079,25.541413,22.395403472376604,22.885998440582345,24.42886718100319,22.3771305,22.797626281250004,0.24999451638166212,0.4905949682057411,0.40908055941765653,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,E6,88.0,12.124289,13.7056,12.457872,13.107861049824342,13.43632377549314,13.283355954575612,12.9149445,13.575494656250001,0.35689231061053817,0.328462725668798,0.26927622450686073,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,E7,100.0,5.041328,5.99111,4.730762,5.633092742187168,5.799631857116828,5.468390966202491,5.5162189999999995,5.9608641874999995,0.3209245587797144,0.16653911492965978,0.191478142883172,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,F#4,66.0,26.192578,29.118582,28.988298,27.866227258860313,28.53712497686299,29.312664541393158,27.65558,28.673608,0.3740682808048031,0.6708977180026778,0.5814570231370091,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,F#5,78.0,14.343111,17.293324,20.63479,15.792926845363658,16.55724599586514,18.987298187642363,15.8182175,16.51909078125,0.2967608892759609,0.7643191505014837,0.7360780041348569,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,F#6,90.0,8.187718,8.468389,9.191835,8.413877818377168,8.51308685435212,8.812611720167707,8.3280535,8.35671109375,0.19522846654951034,0.09920903597495112,-0.04469785435211904,True,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,F#7,102.0,5.877028,6.304183,5.274257,5.900839839858713,5.862376504397807,5.734668819644197,6.090605500000001,6.333995593750001,0.18909867160022095,-0.03846333546090541,0.44180649560219276,True,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,F4,65.0,26.177892,26.256405,31.173848,25.814863629817715,25.88746459971303,28.435693971908364,26.2171485,25.7831270625,0.5615795575129975,0.07260096989531561,0.36894040028697006,True,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,F5,77.0,15.674254,18.070114,19.702604,16.888557214224978,17.443922251745708,18.91330785185319,16.872184,17.5427149375,0.26822596279667155,0.5553650375207297,0.6261917482542927,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,F6,89.0,8.559391,9.228193,8.730382,8.835550887646422,8.835550928703876,8.835551047893187,8.893792,9.17036246875,0.1825352528631226,4.1057454325255094e-08,0.39264207129612316,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,F7,101.0,4.958746,6.41294,5.669511,5.789891335857116,6.087743937133393,6.166073074584017,5.685843,6.255418656249999,0.3212255055123408,0.29785260127627655,0.32519606286660707,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,G#3,56.0,33.591535,36.008517,38.554306,34.8126565184763,35.42698252167247,37.289284098994074,34.800026,35.39219584375,0.25218173264477506,0.6143260031961688,0.5815344783275265,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,G#4,68.0,21.367527,20.040854,24.983277,20.21511719221371,19.9139547381149,22.15002024262957,20.7041905,19.784794499999997,0.7159923258653444,-0.3011624540988116,0.12689926188510015,True,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,G#5,80.0,13.179229,14.251474,13.795649,13.662395436525854,13.70296404560245,13.8206464105094,13.7153515,14.126669312499999,0.18754397762194802,0.04056860907659576,0.5485099543975505,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,G#6,92.0,6.989477,9.869439,8.668368,8.694133237998535,9.375427194764411,9.617579200501845,8.429458,9.53204534375,0.4664847029397481,0.6812939567658756,0.49401180523558885,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,G3,55.0,57.391507,61.65907,70.623528,59.06981854728328,60.21271949683516,65.87778845038133,59.5252885,60.15184534374999,0.5774190109150509,1.1429009495518798,1.4463505031648367,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,G4,67.0,26.244,28.582867,29.160595,27.486144368886286,27.998855701260727,28.966166588238124,27.4134335,28.163257031249998,0.29604441837323975,0.5127113323744403,0.5840112987392736,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,G5,79.0,15.895791,17.19385,17.95471,16.544955577354667,16.806375829525855,17.533487137222302,16.5448205,16.91969765625,0.21743545247008014,0.26142025217118814,0.387474170474146,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,G6,91.0,6.336218,8.310972,7.974047,7.439269203622307,7.875827095037949,8.305342969566903,7.323594999999999,8.03400340625,0.3342643400558396,0.4365578914156423,0.4351449049620504,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
violin,G7,103.0,4.46921,6.365012,4.816325,5.634945377772164,6.0628610287517155,5.828135832771041,5.417111,6.21398234375,0.4216476148026144,0.42791565097955164,0.3021509712482846,False,True,False,[],GPR_Matern_nu1.5_alpha1e-1_n_restarts10,4.5
