instrument,note,midi,dynamic,run_number,global_seed_precondition,values_consumed_before_fit,evaluation_order,prediction,elapsed_s
viola,C7,96.0,pppp,355,0,1,canonical,3.238612817953384,0.10347529999853577
viola,C7,96.0,pppp,356,0,100,canonical,3.238612817953384,0.10163689999899361
viola,C7,96.0,pppp,357,0,10000,canonical,3.238612817953384,0.1004696000018157
viola,C7,96.0,ppp,358,0,0,canonical,3.2386128004294834,0.10175829999207053
viola,C7,96.0,ppp,359,1,0,canonical,3.2386128004294834,0.10061429999768734
viola,C7,96.0,ppp,360,42,0,canonical,3.2386128004294834,0.09870479999517556
viola,C7,96.0,ppp,361,999,0,canonical,3.2386128004294834,0.09936079999897629
viola,C7,96.0,ppp,362,0,1,canonical,3.2386128004294834,0.09951000000000931
viola,C7,96.0,ppp,363,0,100,canonical,3.2386128004294834,0.09922960000403691
viola,C7,96.0,ppp,364,0,10000,canonical,3.2386128004294834,0.0984040999901481
viola,C7,96.0,pp,365,0,0,canonical,3.2386127819333685,0.09946260000288021
viola,C7,96.0,pp,366,1,0,canonical,3.2386127819333685,0.1004049000039231
viola,C7,96.0,pp,367,42,0,canonical,3.2386127819333685,0.10093590000178665
viola,C7,96.0,pp,368,999,0,canonical,3.2386127819333685,0.10098029999062419
viola,C7,96.0,pp,369,0,1,canonical,3.2386127819333685,0.1021889999974519
viola,C7,96.0,pp,370,0,100,canonical,3.2386127819333685,0.100079600000754
viola,C7,96.0,pp,371,0,10000,canonical,3.2386127819333685,0.10197209999023471
viola,C7,96.0,p,372,0,0,canonical,3.2386127624650753,0.1022812999872258
viola,C7,96.0,p,373,1,0,canonical,3.2386127624650753,0.10150279999652412
viola,C7,96.0,p,374,42,0,canonical,3.2386127624650753,0.1014467000059085
viola,C7,96.0,p,375,999,0,canonical,3.2386127624650753,0.10180040000705048
viola,C7,96.0,p,376,0,1,canonical,3.2386127624650753,0.1003567000007024
viola,C7,96.0,p,377,0,100,canonical,3.2386127624650753,0.10126670000317972
viola,C7,96.0,p,378,0,10000,canonical,3.2386127624650753,0.10035389999393374
viola,C7,96.0,mp,379,0,0,canonical,3.238612752366428,0.10092140000779182
viola,C7,96.0,mp,380,1,0,canonical,3.238612752366428,0.09967880000476725
viola,C7,96.0,mp,381,42,0,canonical,3.238612752366428,0.10023069998715073
viola,C7,96.0,mp,382,999,0,canonical,3.238612752366428,0.09888799999316689
viola,C7,96.0,mp,383,0,1,canonical,3.238612752366428,0.10044009999546688
viola,C7,96.0,mp,384,0,100,canonical,3.238612752366428,0.09939519999898039
viola,C7,96.0,mp,385,0,10000,canonical,3.238612752366428,0.10009659999923315
viola,C7,96.0,mf,386,0,0,canonical,3.2386127420248436,0.1006539999943925
viola,C7,96.0,mf,387,1,0,canonical,3.2386127420248436,0.10158139999839477
viola,C7,96.0,mf,388,42,0,canonical,3.2386127420248436,0.10127359999751206
viola,C7,96.0,mf,389,999,0,canonical,3.2386127420248436,0.10084009999991395
viola,C7,96.0,mf,390,0,1,canonical,3.2386127420248436,0.10135830000217538
viola,C7,96.0,mf,391,0,100,canonical,3.2386127420248436,0.1020087000069907
viola,C7,96.0,mf,392,0,10000,canonical,3.2386127420248436,0.10154009998950642
viola,C7,96.0,f,393,0,0,canonical,3.238612720612997,0.10170749999815598
viola,C7,96.0,f,394,1,0,canonical,3.238612720612997,0.10174959999858402
viola,C7,96.0,f,395,42,0,canonical,3.238612720612997,0.10103109999909066
viola,C7,96.0,f,396,999,0,canonical,3.238612720612997,0.1022056999936467
viola,C7,96.0,f,397,0,1,canonical,3.238612720612997,0.10199490000377409
viola,C7,96.0,f,398,0,100,canonical,3.238612720612997,0.10226379999949131
viola,C7,96.0,f,399,0,10000,canonical,3.238612720612997,0.10223129999940284
viola,C7,96.0,ff,400,0,0,canonical,3.238612698229942,0.10131149999506306
viola,C7,96.0,ff,401,1,0,canonical,3.238612698229942,0.10110949999943841
viola,C7,96.0,ff,402,42,0,canonical,3.238612698229942,0.10083120000490453
viola,C7,96.0,ff,403,999,0,canonical,3.238612698229942,0.10165689999121241
viola,C7,96.0,ff,404,0,1,canonical,3.238612698229942,0.10202429999480955
viola,C7,96.0,ff,405,0,100,canonical,3.238612698229942,0.10052659999928437
viola,C7,96.0,ff,406,0,10000,canonical,3.238612698229942,0.10200529999565333
viola,C7,96.0,fff,407,0,0,canonical,3.238612674876029,0.100579399993876
viola,C7,96.0,fff,408,1,0,canonical,3.238612674876029,0.10365180000371765
viola,C7,96.0,fff,409,42,0,canonical,3.238612674876029,0.10270620000665076
viola,C7,96.0,fff,410,999,0,canonical,3.238612674876029,0.10306809999747202
viola,C7,96.0,fff,411,0,1,canonical,3.238612674876029,0.10091219999594614
viola,C7,96.0,fff,412,0,100,canonical,3.238612674876029,0.10177449999901
viola,C7,96.0,fff,413,0,10000,canonical,3.238612674876029,0.10087959999509621
viola,C7,96.0,ffff,414,0,0,canonical,3.2386126505513624,0.10116069999639876
viola,C7,96.0,ffff,415,1,0,canonical,3.2386126505513624,0.1013163000025088
viola,C7,96.0,ffff,416,42,0,canonical,3.2386126505513624,0.10179359999892768
viola,C7,96.0,ffff,417,999,0,canonical,3.2386126505513624,0.10017630000947975
viola,C7,96.0,ffff,418,0,1,canonical,3.2386126505513624,0.09968050000315998
viola,C7,96.0,ffff,419,0,100,canonical,3.2386126505513624,0.10048560000723228
viola,C7,96.0,ffff,420,0,10000,canonical,3.2386126505513624,0.10107289999723434
cello,C2,36.0,pppp,421,0,0,canonical,75.25064681493804,0.09501069999532774
cello,C2,36.0,pppp,422,1,0,canonical,75.25064681493804,0.09581659999093972
cello,C2,36.0,pppp,423,42,0,canonical,75.25064681493804,0.09561720000056084
cello,C2,36.0,pppp,424,999,0,canonical,75.25064681493804,0.0947738999966532
cello,C2,36.0,pppp,425,0,1,canonical,75.25064681493804,0.09439700000802986
cello,C2,36.0,pppp,426,0,100,canonical,75.25064681493804,0.09629850000783335
cello,C2,36.0,pppp,427,0,10000,canonical,75.25064681493804,0.0954356000002008
cello,C2,36.0,ppp,428,0,0,canonical,80.09452620712909,0.09535379998851568
cello,C2,36.0,ppp,429,1,0,canonical,80.09452620712909,0.09551790000114124
cello,C2,36.0,ppp,430,42,0,canonical,80.09452620712909,0.09569119999650866
cello,C2,36.0,ppp,431,999,0,canonical,80.09452620712909,0.09551810000266414
cello,C2,36.0,ppp,432,0,1,canonical,80.09452620712909,0.09400399999867659
cello,C2,36.0,ppp,433,0,100,canonical,80.09452620712909,0.094167599992943
cello,C2,36.0,ppp,434,0,10000,canonical,80.09452620712909,0.09301880000566598
cello,C2,36.0,pp,435,0,0,canonical,85.23007057592524,0.09307479999552015
cello,C2,36.0,pp,436,1,0,canonical,85.23007057592524,0.09513180000067223
cello,C2,36.0,pp,437,42,0,canonical,85.23007057592524,0.09278970000741538
cello,C2,36.0,pp,438,999,0,canonical,85.23007057592524,0.09268000000156462
cello,C2,36.0,pp,439,0,1,canonical,85.23007057592524,0.09537589999672491
cello,C2,36.0,pp,440,0,100,canonical,85.23007057592524,0.09291929999017157
cello,C2,36.0,pp,441,0,10000,canonical,85.23007057592524,0.09560030000284314
cello,C2,36.0,p,442,0,0,canonical,90.37951444483586,0.09430319999228232
cello,C2,36.0,p,443,1,0,canonical,90.37951444483586,0.09411999999429099
cello,C2,36.0,p,444,42,0,canonical,90.37951444483586,0.09282760000496637
cello,C2,36.0,p,445,999,0,canonical,90.37951444483586,0.09363550000125542
cello,C2,36.0,p,446,0,1,canonical,90.37951444483586,0.09251029998995364
cello,C2,36.0,p,447,0,100,canonical,90.37951444483586,0.0947844000038458
cello,C2,36.0,p,448,0,10000,canonical,90.37951444483586,0.09201670000038575
cello,C2,36.0,mp,449,0,0,canonical,92.5237861401264,0.09367660000862088
cello,C2,36.0,mp,450,1,0,canonical,92.5237861401264,0.09308690000034403
cello,C2,36.0,mp,451,42,0,canonical,92.5237861401264,0.09260750000248663
cello,C2,36.0,mp,452,999,0,canonical,92.5237861401264,0.09435860000667162
cello,C2,36.0,mp,453,0,1,canonical,92.5237861401264,0.09657810001226608
cello,C2,36.0,mp,454,0,100,canonical,92.5237861401264,0.09244130000297446
cello,C2,36.0,mp,455,0,10000,canonical,92.5237861401264,0.09566569999151397
cello,C2,36.0,mf,456,0,0,canonical,94.08829749140821,0.0951340000028722
cello,C2,36.0,mf,457,1,0,canonical,94.08829749140821,0.0953970999980811
cello,C2,36.0,mf,458,42,0,canonical,94.08829749140821,0.0957747000065865
cello,C2,36.0,mf,459,999,0,canonical,94.08829749140821,0.09326560000772588
cello,C2,36.0,mf,460,0,1,canonical,94.08829749140821,0.09477650000189897
cello,C2,36.0,mf,461,0,100,canonical,94.08829749140821,0.09245240000018384
cello,C2,36.0,mf,462,0,10000,canonical,94.08829749140821,0.09215869999025017
cello,C2,36.0,f,463,0,0,canonical,95.12562883392127,0.09137949999421835
cello,C2,36.0,f,464,1,0,canonical,95.12562883392127,0.09157960000447929
cello,C2,36.0,f,465,42,0,canonical,95.12562883392127,0.09361989999888465
cello,C2,36.0,f,466,999,0,canonical,95.12562883392127,0.09299730000202544
cello,C2,36.0,f,467,0,1,canonical,95.12562883392127,0.09833100000105333
cello,C2,36.0,f,468,0,100,canonical,95.12562883392127,0.10343339999963064
cello,C2,36.0,f,469,0,10000,canonical,95.12562883392127,0.1008058000006713
cello,C2,36.0,ff,470,0,0,canonical,94.37725334211699,0.09544889999961015
cello,C2,36.0,ff,471,1,0,canonical,94.37725334211699,0.09617799999250565
cello,C2,36.0,ff,472,42,0,canonical,94.37725334211699,0.09809970000060275
cello,C2,36.0,ff,473,999,0,canonical,94.37725334211699,0.0957767999934731
cello,C2,36.0,ff,474,0,1,canonical,94.37725334211699,0.0952432000049157
cello,C2,36.0,ff,475,0,100,canonical,94.37725334211699,0.0953124000079697
cello,C2,36.0,ff,476,0,10000,canonical,94.37725334211699,0.09299499999906402
cello,C2,36.0,fff,477,0,0,canonical,93.02098774046601,0.09489040001062676
cello,C2,36.0,fff,478,1,0,canonical,93.02098774046601,0.09580979999736883
cello,C2,36.0,fff,479,42,0,canonical,93.02098774046601,0.0955175999988569
cello,C2,36.0,fff,480,999,0,canonical,93.02098774046601,0.09538440000324044
cello,C2,36.0,fff,481,0,1,canonical,93.02098774046601,0.0935583999962546
cello,C2,36.0,fff,482,0,100,canonical,93.02098774046601,0.09368060000997502
cello,C2,36.0,fff,483,0,10000,canonical,93.02098774046601,0.09573390000150539
cello,C2,36.0,ffff,484,0,0,canonical,91.34074292235087,0.0961892000050284
cello,C2,36.0,ffff,485,1,0,canonical,91.34074292235087,0.09418319999531377
cello,C2,36.0,ffff,486,42,0,canonical,91.34074292235087,0.09387869999045506
cello,C2,36.0,ffff,487,999,0,canonical,91.34074292235087,0.09353969999938272
cello,C2,36.0,ffff,488,0,1,canonical,91.34074292235087,0.09419450000859797
cello,C2,36.0,ffff,489,0,100,canonical,91.34074292235087,0.09538509999401867
cello,C2,36.0,ffff,490,0,10000,canonical,91.34074292235087,0.09548049999284558
cello,C4,60.0,pppp,491,0,0,canonical,34.02782494572416,0.1022540999983903
cello,C4,60.0,pppp,492,1,0,canonical,34.02782494572416,0.10185719998844434
cello,C4,60.0,pppp,493,42,0,canonical,34.02782494572416,0.10166800000297371
cello,C4,60.0,pppp,494,999,0,canonical,34.02782494572416,0.10229439999966417
cello,C4,60.0,pppp,495,0,1,canonical,34.02782494572416,0.10162329999729991
cello,C4,60.0,pppp,496,0,100,canonical,34.02782494572416,0.10202289999870118
cello,C4,60.0,pppp,497,0,10000,canonical,34.02782494572416,0.10009199999331031
cello,C4,60.0,ppp,498,0,0,canonical,33.17109041505329,0.09913199998845812
cello,C4,60.0,ppp,499,1,0,canonical,33.17109041505329,0.0998307000118075
cello,C4,60.0,ppp,500,42,0,canonical,33.17109041505329,0.10132139999768697
cello,C4,60.0,ppp,501,999,0,canonical,33.17109041505329,0.1013195999985328
cello,C4,60.0,ppp,502,0,1,canonical,33.17109041505329,0.10013849999813829
cello,C4,60.0,ppp,503,0,100,canonical,33.17109041505329,0.10123889999522362
cello,C4,60.0,ppp,504,0,10000,canonical,33.17109041505329,0.10040679998928681
cello,C4,60.0,pp,505,0,0,canonical,30.810354166231072,0.1003667999902973
cello,C4,60.0,pp,506,1,0,canonical,30.810354166231072,0.10147919999144506
cello,C4,60.0,pp,507,42,0,canonical,30.810354166231072,0.1004454999929294
cello,C4,60.0,pp,508,999,0,canonical,30.810354166231072,0.09875200000533368
cello,C4,60.0,pp,509,0,1,canonical,30.810354166231072,0.10149729999830015
cello,C4,60.0,pp,510,0,100,canonical,30.810354166231072,0.10031780001008883
cello,C4,60.0,pp,511,0,10000,canonical,30.810354166231072,0.09935350000159815
cello,C4,60.0,p,512,0,0,canonical,27.033630120720165,0.10196689999429509
cello,C4,60.0,p,513,1,0,canonical,27.033630120720165,0.10170220000145491
cello,C4,60.0,p,514,42,0,canonical,27.033630120720165,0.10145019998890348
cello,C4,60.0,p,515,999,0,canonical,27.033630120720165,0.10323000000789762
cello,C4,60.0,p,516,0,1,canonical,27.033630120720165,0.10076909999770578
cello,C4,60.0,p,517,0,100,canonical,27.033630120720165,0.10016289999475703
cello,C4,60.0,p,518,0,10000,canonical,27.033630120720165,0.0998775000043679
cello,C4,60.0,mp,519,0,0,canonical,25.3459610630758,0.1003849000117043
cello,C4,60.0,mp,520,1,0,canonical,25.3459610630758,0.0985244000039529
