family,instrument,band_index,dynamic,energy_provenance,energy_w_bloom,energy_w_buildup,energy_w_decay,energy_w_residue,energy_w_shimmer,energy_w_strike,f_c_hz,f_centre_hz,f_hi_hz,f_lo_hz,fill_fraction,modes_per_band,notes,ref_distance_m,spl_db_decay,spl_db_strike,stroke,t_contact_provenance,t_contact_s
plate,cymbal_18in_medium,0,,internal_default,,0.0009489951209226576,,0.07623501740430516,0.009015394454819163,0.0012312107453274826,,31.070005997851133,48.26726363532532,19.999999999999982,0.9,1.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,1,,internal_default,,0.0,,0.0,0.0,0.0,,62.04115804080137,79.74567027716589,48.26726363532532,0.9,0.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,2,,internal_default,,0.0009442615960686474,,0.060250281971762555,0.008462909842137267,0.0012304866565950577,,95.6807360113951,114.80000371009025,79.74567027716589,0.9,1.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,3,,internal_default,,0.0018836198196684477,,0.10662433176574487,0.016378355047274282,0.0024602207230240212,,132.8925478326256,153.83648692246896,114.80000371009025,0.9,2.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,4,,internal_default,,0.0018784405735268492,,0.09366639232731626,0.01581783493565558,0.002459423911023673,,174.22138513818598,197.30748957342993,153.83648692246896,0.9,2.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,5,,internal_default,,0.0,,0.0,0.0,0.0,,220.18573768342424,245.71677022503872,197.30748957342993,0.9,0.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,6,,internal_default,,0.0028005208271336545,,0.10543219657669453,0.021964670411926332,0.0036864886029043713,,271.33552007714667,299.62531408868983,245.71677022503872,0.9,3.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,7,,internal_default,,0.0027909952530340548,,0.08981302914022028,0.02103829735169869,0.0036850111884667116,,328.2721301869142,359.65783393574134,299.62531408868983,0.9,3.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,8,,internal_default,,0.0037076450457825456,,0.1006914480030717,0.026774198650327832,0.004911219374884772,,391.6601411572962,426.51000950742576,359.65783393574134,0.9,4.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,9,,internal_default,,0.0,,0.0,0.0,0.0,,462.2369334140603,500.9565493170786,426.51000950742576,0.9,0.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,10,,internal_default,,0.0036769877097040378,,0.06806473775620753,0.024100057732217395,0.004906413624372079,,540.822128965883,583.8601682679283,500.9565493170786,0.9,4.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,11,,internal_default,,0.004575029572613199,,0.06818158364344196,0.02838696400252429,0.006129622910611539,,628.3275372521083,676.1815851225036,583.8601682679283,0.9,5.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,12,,internal_default,,0.004553223618781537,,0.05358854538564801,0.026616854481087616,0.006125933388458144,,725.7679631618286,778.9906556781491,676.1815851225036,0.9,5.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,13,,internal_default,,0.005440059784503525,,0.04947557852243217,0.029803035162140716,0.00734630339525492,,834.2731048009164,893.4787706641346,778.9906556781491,0.9,6.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,14,,internal_default,,0.005426965242722741,,0.037183550659174135,0.027702180657204954,0.0073410597735224,,955.1007271246142,1020.9726620319176,893.4787706641346,0.9,6.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,15,,internal_default,,0.0054434359216921045,,0.0272358670276964,0.025725607711478356,0.007335348234413701,,1089.651288384257,1162.94977763112,1020.9726620319176,0.9,6.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,16,,internal_default,,0.009209123794825632,,0.03232426191738111,0.04001420178591676,0.012215207040513772,,1239.484201797112,1321.055402438827,1162.94977763112,0.9,10.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,17,,internal_default,,0.0038207815974464444,,0.008926766763645604,0.015147002290141,0.004881559505681986,,1406.3359280729921,1497.1217247495472,1321.055402438827,0.9,4.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,18,,internal_default,,0.004092074481050593,,0.00595766396545028,0.01467751412491355,0.00487662703783519,,1592.1401126215692,1693.1890682721116,1497.1217247495472,0.9,4.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,19,,internal_default,,0.006826943953996381,,0.005746647974792905,0.02195212308877408,0.007306870655014965,,1799.050003290016,1911.5295361791561,1693.1890682721116,0.9,6.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,20,,internal_default,,0.002616428935637115,,0.0011826704245294405,0.007466641647017077,0.0024326889972285915,,2029.4634099536993,2154.6733411054515,1911.5295361791561,0.9,2.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,21,,internal_default,,0.004593780864462787,,0.0010475181406498595,0.01150695095894494,0.0036442307327984556,,2286.0504961747515,2425.4381262171387,2154.6733411054515,0.9,3.0,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,22,,internal_default,,0.03387498011014335,,0.0037212349925673065,0.07358569776218084,0.022988409578485008,,2571.784725619831,2726.9616171356174,2425.4381262171387,0.9,18.951750093295402,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,23,,internal_default,,0.04306756135702941,,0.0022089492439981147,0.08006452613814298,0.02555964528249384,,2889.9773222733784,3062.7379830990285,2726.9616171356174,0.9,21.104656740306666,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
plate,cymbal_18in_medium,24,,internal_default,,0.05277284048266415,,0.0012366528354785656,0.08275233681653629,0.028414310834772666,,3244.3156440657726,3436.658328728339,3062.7379830990285,0.9,23.502132200642553,"flat-plate approximation: dome/curvature not modelled | linear modal regime: chaotic broadband regime at ff not modelled | AmplitudeLayer refused: fill_fraction=0.900 > 0.6 (vector mostly residual fill, not a measurement); using equipartition (internal_default)",,,,,,
