family,instrument,band_index,energy_w_bloom,energy_w_bloom_p05,energy_w_bloom_p25,energy_w_bloom_p50,energy_w_bloom_p75,energy_w_bloom_p95,energy_w_buildup,energy_w_buildup_p05,energy_w_buildup_p25,energy_w_buildup_p50,energy_w_buildup_p75,energy_w_buildup_p95,energy_w_decay,energy_w_decay_p05,energy_w_decay_p25,energy_w_decay_p50,energy_w_decay_p75,energy_w_decay_p95,energy_w_residue,energy_w_residue_p05,energy_w_residue_p25,energy_w_residue_p50,energy_w_residue_p75,energy_w_residue_p95,energy_w_shimmer,energy_w_shimmer_p05,energy_w_shimmer_p25,energy_w_shimmer_p50,energy_w_shimmer_p75,energy_w_shimmer_p95,energy_w_strike,energy_w_strike_p05,energy_w_strike_p25,energy_w_strike_p50,energy_w_strike_p75,energy_w_strike_p95,f_centre_hz,f_hi_hz,f_lo_hz,mc_n_draws,mc_seed,modes_per_band,modes_per_band_p05,modes_per_band_p25,modes_per_band_p50,modes_per_band_p75,modes_per_band_p95
plate,cymbal_46cm_medium,9,,,,,,,0.003036212930613554,0.0,0.002611895079160622,0.003036212930613554,0.0035443364044638248,0.004793768861783776,,,,,,,0.06856657964134508,0.0,0.05896062327433543,0.06856657964134508,0.08228175284291753,0.10282538952487233,0.02159522968375533,0.0,0.01380059706814887,0.02159522968375533,0.032978389769627026,0.05410556880918047,0.003893459167730846,0.0,0.003479971027430435,0.003893459167730846,0.004321621075260835,0.005267016568651127,462.2369334140603,500.9565493170786,426.51000950742576,2000,20260803,3.0,0.0,3.0,3.0,3.0,4.0
plate,cymbal_46cm_medium,10,,,,,,,0.0032679709759949023,0.0,0.002802237033772746,0.0032679709759949023,0.0037918688240322126,0.005932807877004463,,,,,,,0.06084195276450596,0.0,0.05365479286035245,0.06084195276450596,0.0689352359500269,0.10023970715010479,0.022062656631455166,0.0,0.013754353141349297,0.022062656631455166,0.03329244507996956,0.05322176242329784,0.00417721485795998,0.0,0.00368694856321194,0.00417721485795998,0.004748319987974944,0.00766115257565537,540.822128965883,583.8601682679283,500.9565493170786,2000,20260803,3.0,0.0,3.0,3.0,4.0,7.0
plate,cymbal_46cm_medium,11,,,,,,,0.003608397613553807,0.0,0.0031072078074204593,0.003608397613553807,0.004250730775617303,0.007692792459506233,,,,,,,0.05515985485534154,0.0,0.048027328643184125,0.05515985485534154,0.06329988882350908,0.09992651463453046,0.02442388032138063,0.0,0.015957656130910047,0.02442388032138063,0.03576622856695179,0.05955620540030087,0.004605219851453309,0.0,0.004046966521093945,0.004605219851453309,0.005241654945792498,0.010090210339046555,628.3275372521083,676.1815851225036,583.8601682679283,2000,20260803,4.0,0.0,3.0,4.0,4.0,9.0
plate,cymbal_46cm_medium,12,,,,,,,0.003974615403849623,0.002878797480150805,0.0034683357812202798,0.003974615403849623,0.0047581774078594395,0.008403079423740505,,,,,,,0.04986859301363,0.02697814066619674,0.041798620556337714,0.04986859301363,0.057675824672434234,0.09002094192505689,0.02632072429076252,0.009553837951317938,0.017784642100812258,0.02632072429076252,0.03784329153913224,0.06039234990909192,0.005131545013943099,0.0037687349906939324,0.004524631811177972,0.005131545013943099,0.005841713331449098,0.011134754297126823,725.7679631618286,778.9906556781491,676.1815851225036,2000,20260803,4.0,3.0,4.0,4.0,4.0,9.0
plate,cymbal_46cm_medium,13,,,,,,,0.0044317864881600975,0.0030610234077295224,0.0037737407217600565,0.0044317864881600975,0.00568740951474654,0.008768164740062786,,,,,,,0.043984260884421256,0.020369436102197463,0.03355928925850846,0.043984260884421256,0.053638064389726375,0.07287127542456459,0.02780327734261729,0.009855111320990938,0.018657464691621474,0.02780327734261729,0.03981756791446943,0.061384807062835785,0.005527814557586578,0.004264124435429768,0.004964314000233793,0.005527814557586578,0.006702102527279639,0.011455547910146429,834.2731048009164,893.4787706641346,778.9906556781491,2000,20260803,4.0,4.0,4.0,4.0,5.0,9.0
plate,cymbal_46cm_medium,14,,,,,,,0.004702541365732742,0.003214721201865177,0.0039650537332946,0.004702541365732742,0.006333582184970425,0.008772065236147328,,,,,,,0.03454792477075726,0.016035079673083454,0.02558901568779938,0.03454792477075726,0.04409539092749251,0.06283741306200898,0.02756022656436761,0.010854948304158325,0.018847879438893104,0.02756022656436761,0.038764405623320064,0.05679731724222945,0.005808436923845794,0.004421062930828897,0.005157283020731356,0.005808436923845794,0.007796824471709615,0.011573459129230157,955.1007271246142,1020.9726620319176,893.4787706641346,2000,20260803,4.0,4.0,4.0,4.0,5.0,9.0
plate,cymbal_46cm_medium,15,,,,,,,0.0050031915359304395,0.003240667139168877,0.0040574681280187794,0.0050031915359304395,0.006937529967767018,0.009532613766715286,,,,,,,0.026914973903672982,0.009391999397764103,0.019218944042283075,0.026914973903672982,0.0359423327787025,0.05134312946179487,0.02646542019110175,0.010668688330394784,0.018423560279124684,0.02646542019110175,0.03733835956642825,0.05690408044335689,0.006206351628852564,0.004399014016986415,0.0052373675413758675,0.006206351628852564,0.00922577359170842,0.011951603356181738,1089.651288384257,1162.94977763112,1020.9726620319176,2000,20260803,5.0,4.0,4.0,5.0,8.0,9.0
plate,cymbal_46cm_medium,16,,,,,,,0.005486244009523782,0.0032581363221522363,0.004263001035998891,0.005486244009523782,0.007054421864065449,0.009714188082765057,,,,,,,0.019962849665381043,0.005983935916974407,0.013016257458960366,0.019962849665381043,0.027572391817264823,0.04147936386349848,0.02545616924717864,0.010277936417099742,0.01760765987401484,0.02545616924717864,0.035424444779063556,0.05495630752558094,0.006759528934052407,0.0043485461915855695,0.005406481134792941,0.006759528934052407,0.009008418501130239,0.011831014051406831,1239.484201797112,1321.055402438827,1162.94977763112,2000,20260803,5.0,4.0,4.0,5.0,8.0,9.0
plate,cymbal_46cm_medium,17,,,,,,,0.005228536178516936,0.0034081868576182864,0.004356921502642962,0.005228536178516936,0.006944589892681099,0.010066934345450829,,,,,,,0.013209375902502301,0.00307473676827905,0.0077931069934657985,0.013209375902502301,0.01949759624368542,0.03387279274222577,0.022625166487503172,0.009690659989093643,0.01608790695611327,0.022625166487503172,0.03149598972982479,0.04990044669420435,0.006308458497397236,0.004282604395139721,0.005292201531730565,0.006308458497397236,0.008488547272435022,0.011973374613741636,1406.3359280729921,1497.1217247495472,1321.055402438827,2000,20260803,5.0,4.0,4.0,5.0,7.0,9.0
plate,cymbal_46cm_medium,18,,,,,,,0.00544581875934721,0.00333787004709153,0.0043541231291760974,0.00544581875934721,0.007205914651833753,0.010885686325829076,,,,,,,0.008321578530625269,0.0014577285449547262,0.0047501738290783545,0.008321578530625269,0.013549020631995097,0.025003390684618515,0.020862944105989385,0.008730273274877961,0.01438002895267759,0.020862944105989385,0.02945797108662209,0.04911024843309427,0.006110818766217021,0.003982371911125305,0.005070879193470769,0.006110818766217021,0.00801186878496489,0.011752409993755177,1592.1401126215692,1693.1890682721116,1497.1217247495472,2000,20260803,5.0,3.0,4.0,5.0,6.0,9.0
