id,category,description,notes,dynamics,instruments,assigned,qty,w,n_events,n_distinct,player_count,span_semitones,interval_raw,interval_reported,pitch_structure_density,sonic_mass,instrument_rss,composite_total,composite_total_pre_log,spectral_entropy,harmonic_ratio,weighted_orchestral,weighted_pitch,warnings,nonfinite_flag
QTY.q8,QTY,triad Qty=8 each,C4 E4 G4,mf mf mf,flauta flauta flauta,,8 8 8,0.5,3,3,24,7.0,1.9077235705087667,0.2137588382139519,3.4423979010879058,464.73444000000006,97.58169005710484,0.0527174779089389,0.12906118623893068,1.5448491220845173,0.4467886305133745,4.8790845028552425,0.10687941910697595,,False
QTY.rowsplit_single,QTY,one event Qty=3 (unison),C4,mf,flauta,,3,0.5,1,1,3,0.0,0.0,0.0,0.0,77.86427400000001,44.95495955415478,0.0,0.0,0.0,1.0,2.247747977707739,0.0,Fewer than two simultaneous events; interval compactness is zero or unstable.,False
QTY.rowsplit_split,QTY,three events Qty=1 (unison),C4 C4 C4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,1,3,0.0,0.0,0.0,0.0,77.86427400000001,44.95495955415478,0.0,0.0,0.0,1.0,2.247747977707739,0.0,,False
QTY.unison_multi_timbre,QTY,unison C4 across 3 timbres Qty1,C4 C4 C4,mf mf mf,flauta clarinete violino,,1 1 1,0.5,3,1,3,0.0,0.0,0.0,0.0,66.85541599999999,39.07924792036579,0.0,0.0,0.0,1.0,1.9539623960182895,0.0,,False
DYN.uniform_pppp,DYN,triad uniform pppp,C4 E4 G4,pppp pppp pppp,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.5410183549413445,28.670780372499998,16.576200699751222,0.014089660395605764,0.03297464207722246,1.582966804581059,0.3174038809466312,0.8288100349875611,0.10687941910697595,"Instrument 'flauta' dynamic 'pppp' at event evt_0 is outside measured support ('pp', 'mf', 'ff'); boundary 'pp', ratio 0.85^2. Dynamic level outside measured support; saturated extrapolation applied. | Instrument 'flauta' dynamic 'pppp' at event evt_1 is outside measured support ('pp', 'mf', 'ff'); boundary 'pp', ratio 0.85^2. Dynamic level outside measured support; saturated extrapolation applied. | Instrument 'flauta' dynamic 'pppp' at event evt_2 is outside measured support ('pp', 'mf', 'ff'); boundary 'pp', ratio 0.85^2. Dynamic level outside measured support; saturated extrapolation applied.",False
DYN.uniform_pp,DYN,triad uniform pp,C4 E4 G4,pp pp pp,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.5410183549413445,39.682741,22.94283833875602,0.01652930565028572,0.0387936965614382,1.582966804581059,0.3174038809466312,1.147141916937801,0.10687941910697595,,False
DYN.uniform_mp,DYN,triad uniform mp,C4 E4 G4,mp mp mp,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.457019548360296,54.43689102405658,32.11580124244432,0.018849767022089303,0.04435888769890447,1.5543674149730204,0.43240327459853606,1.605790062122216,0.10687941910697595,,False
DYN.uniform_mf,DYN,triad uniform mf,C4 E4 G4,mf mf mf,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.4423979010879058,58.09180500000001,34.500337379511365,0.01937804332565535,0.045630019988763905,1.5448491220845173,0.4467886305133745,1.7250168689755683,0.10687941910697595,,False
DYN.uniform_ff,DYN,triad uniform ff,C4 E4 G4,ff ff ff,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.5031006513282215,62.324275,36.17838505366641,0.02040126680021597,0.04809649056709633,1.5771387753188613,0.3781040052210796,1.8089192526833207,0.10687941910697595,,False
DYN.uniform_ffff,DYN,triad uniform ffff,C4 E4 G4,ffff ffff ffff,flauta flauta flauta,,1 1 1,0.5,3,3,3,7.0,1.9077235705087667,0.2137588382139519,3.503100651328221,75.41237275000002,43.77584591493636,0.02238965811778569,0.05290613962380596,1.577138775318861,0.37810400522107956,2.188792295746818,0.10687941910697595,"Instrument 'flauta' dynamic 'ffff' at event evt_0 is outside measured support ('pp', 'mf', 'ff'); boundary 'ff', ratio 1.1^2. Dynamic level outside measured support; saturated extrapolation applied. | Instrument 'flauta' dynamic 'ffff' at event evt_1 is outside measured support ('pp', 'mf', 'ff'); boundary 'ff', ratio 1.1^2. Dynamic level outside measured support; saturated extrapolation applied. | Instrument 'flauta' dynamic 'ffff' at event evt_2 is outside measured support ('pp', 'mf', 'ff'); boundary 'ff', ratio 1.1^2. Dynamic level outside measured support; saturated extrapolation applied.",False
